Price,Location
1.75,Mumbai
12.5,Pune
4.5,Chennai
6.0,Chennai
17.74,Coimbatore
2.35,Hyderabad
3.5,Jaipur
17.5,Mumbai
5.2,Pune
1.95,Chennai
9.95,Kochi
4.49,Kolkata
5.6,Jaipur
27.0,Delhi
17.5,Pune
15.0,Delhi
5.4,Kochi
5.99,Jaipur
6.34,Kochi
28.0,Bangalore
18.55,Kochi
8.25,Bangalore
23.5,Mumbai
1.87,Kolkata
2.85,Kolkata
4.25,Mumbai
4.25,Hyderabad
2.75,Hyderabad
9.9,Kochi
4.0,Mumbai
7.75,Bangalore
6.75,Delhi
12.5,Bangalore
11.5,Kolkata
6.98,Coimbatore
1.85,Jaipur
8.63,Kochi
4.85,Delhi
28.0,Pune
5.0,Chennai
1.25,Delhi
1.53,Kochi
5.58,Coimbatore
4.74,Kochi
8.85,Bangalore
10.11,Mumbai
4.25,Ahmedabad
10.95,Bangalore
3.85,Jaipur
5.5,Jaipur
21.43,Kochi
4.25,Delhi
3.3,Kolkata
3.85,Delhi
3.6,Chennai
3.99,Kolkata
3.3,Kochi
2.07,Kolkata
7.75,Hyderabad
2.25,Hyderabad
16.5,Mumbai
2.75,Bangalore
26.7,Delhi
10.0,Pune
2.5,Chennai
13.5,Jaipur
1.85,Mumbai
35.67,Coimbatore
8.15,Pune
10.5,Mumbai
9.65,Mumbai
3.48,Kochi
6.92,Kochi
6.46,Coimbatore
29.5,Delhi
2.0,Jaipur
4.5,Chennai
11.75,Hyderabad
1.3,Hyderabad
3.75,Jaipur
4.5,Pune
4.82,Kochi
2.8,Hyderabad
3.11,Jaipur
3.25,Delhi
13.9,Delhi
2.25,Pune
5.75,Bangalore
2.1,Hyderabad
5.0,Mumbai
16.5,Delhi
39.58,Coimbatore
5.5,Delhi
8.1,Delhi
3.5,Kolkata
2.79,Kolkata
3.45,Ahmedabad
4.45,Bangalore
2.65,Delhi
3.8,Pune
4.65,Mumbai
3.95,Pune
9.8,Kolkata
2.7,Pune
2.41,Coimbatore
3.9,Ahmedabad
24.0,Hyderabad
5.75,Delhi
5.25,Kolkata
19.25,Mumbai
3.91,Coimbatore
2.15,Bangalore
20.75,Mumbai
3.35,Delhi
11.11,Ahmedabad
20.0,Bangalore
6.55,Coimbatore
7.0,Mumbai
7.5,Mumbai
0.85,Mumbai
16.75,Pune
10.95,Kolkata
2.45,Pune
3.23,Coimbatore
7.75,Kolkata
9.35,Kolkata
3.25,Pune
5.25,Bangalore
7.25,Pune
7.47,Kochi
13.25,Jaipur
5.81,Coimbatore
2.6,Hyderabad
54.0,Kolkata
11.5,Kochi
1.6,Chennai
17.22,Coimbatore
6.0,Mumbai
3.95,Delhi
17.95,Kochi
3.7,Kolkata
5.43,Kochi
1.67,Kochi
13.49,Coimbatore
2.85,Pune
4.75,Chennai
9.9,Kochi
37.0,Mumbai
26.5,Mumbai
23.32,Coimbatore
6.25,Chennai
9.86,Coimbatore
8.5,Pune
4.23,Kochi
3.5,Jaipur
2.5,Kolkata
2.39,Kolkata
11.25,Delhi
7.11,Kochi
10.9,Ahmedabad
6.2,Ahmedabad
7.9,Mumbai
4.42,Kochi
13.5,Mumbai
6.25,Chennai
2.1,Jaipur
45.0,Mumbai
33.66,Coimbatore
3.65,Bangalore
2.75,Delhi
42.5,Bangalore
6.5,Kolkata
19.0,Mumbai
4.45,Mumbai
23.0,Jaipur
8.35,Bangalore
22.95,Mumbai
1.5,Jaipur
6.89,Kochi
1.45,Chennai
33.5,Hyderabad
1.25,Jaipur
4.2,Hyderabad
6.75,Mumbai
32.0,Bangalore
7.5,Kochi
4.6,Delhi
4.04,Kochi
10.31,Kochi
55.76,Coimbatore
2.6,Chennai
8.5,Mumbai
2.95,Ahmedabad
3.5,Kolkata
3.55,Jaipur
3.25,Kolkata
4.5,Hyderabad
5.35,Delhi
6.5,Chennai
9.0,Mumbai
6.0,Kochi
2.75,Jaipur
1.5,Pune
19.9,Delhi
10.0,Mumbai
3.0,Delhi
2.11,Kolkata
11.96,Kochi
3.25,Kolkata
4.75,Jaipur
5.95,Mumbai
8.15,Delhi
4.22,Mumbai
10.5,Kolkata
45.0,Delhi
2.9,Pune
8.9,Mumbai
26.0,Hyderabad
8.22,Coimbatore
3.5,Kolkata
1.25,Chennai
3.7,Hyderabad
39.41,Coimbatore
2.65,Kolkata
8.92,Coimbatore
4.1,Delhi
35.67,Kochi
3.6,Bangalore
0.85,Jaipur
3.32,Kochi
3.6,Mumbai
6.8,Hyderabad
2.5,Kolkata
19.64,Kochi
7.0,Mumbai
3.87,Kolkata
6.27,Kochi
18.12,Kochi
2.65,Mumbai
7.2,Kochi
14.3,Coimbatore
6.9,Chennai
10.75,Mumbai
0.95,Mumbai
8.09,Kochi
18.5,Ahmedabad
4.75,Mumbai
8.45,Chennai
3.5,Kolkata
1.8,Kochi
3.7,Jaipur
7.17,Coimbatore
1.75,Jaipur
21.99,Kochi
18.65,Pune
1.85,Jaipur
5.95,Coimbatore
3.75,Mumbai
3.75,Pune
2.6,Hyderabad
1.75,Hyderabad
2.8,Mumbai
61.29,Coimbatore
18.0,Bangalore
4.35,Hyderabad
13.75,Bangalore
2.0,Pune
10.0,Delhi
1.65,Delhi
45.77,Coimbatore
3.25,Bangalore
12.8,Pune
0.55,Mumbai
7.15,Hyderabad
7.0,Pune
3.75,Pune
8.5,Mumbai
4.35,Jaipur
3.26,Kochi
4.21,Jaipur
70.36,Kochi
2.95,Mumbai
4.28,Kochi
3.57,Jaipur
3.11,Kolkata
5.96,Coimbatore
4.7,Hyderabad
6.9,Ahmedabad
5.25,Pune
28.0,Pune
1.35,Delhi
4.85,Delhi
6.7,Coimbatore
3.1,Hyderabad
18.64,Kochi
2.8,Pune
20.25,Chennai
26.78,Kochi
8.26,Hyderabad
3.89,Mumbai
2.1,Hyderabad
12.69,Mumbai
2.58,Coimbatore
20.77,Kochi
20.26,Delhi
1.5,Chennai
2.5,Kolkata
4.25,Hyderabad
57.0,Hyderabad
44.0,Delhi
3.65,Hyderabad
2.05,Hyderabad
3.13,Kochi
1.5,Hyderabad
2.85,Pune
2.65,Delhi
10.6,Hyderabad
1.25,Pune
8.25,Mumbai
4.45,Mumbai
3.7,Kolkata
2.8,Hyderabad
1.8,Kolkata
21.95,Kochi
49.0,Mumbai
62.67,Coimbatore
1.4,Pune
5.5,Pune
2.95,Bangalore
6.86,Kochi
6.15,Hyderabad
3.3,Pune
2.55,Kolkata
1.5,Ahmedabad
2.5,Chennai
1.4,Chennai
3.4,Pune
2.25,Pune
2.8,Kolkata
7.66,Coimbatore
7.15,Chennai
3.5,Delhi
3.5,Hyderabad
3.45,Kolkata
3.55,Coimbatore
25.99,Kochi
5.25,Bangalore
2.9,Ahmedabad
2.05,Jaipur
3.75,Pune
6.75,Mumbai
0.95,Kolkata
52.0,Hyderabad
3.91,Jaipur
27.3,Kochi
3.5,Delhi
6.2,Mumbai
2.75,Chennai
3.25,Mumbai
3.25,Pune
0.65,Kolkata
35.0,Pune
3.25,Kolkata
2.9,Kolkata
2.9,Bangalore
17.75,Bangalore
8.25,Mumbai
5.77,Coimbatore
9.49,Hyderabad
12.95,Mumbai
20.0,Chennai
1.0,Chennai
7.1,Chennai
16.5,Mumbai
26.0,Chennai
3.2,Hyderabad
9.48,Kochi
4.0,Kochi
26.5,Jaipur
11.77,Kochi
37.0,Bangalore
8.75,Mumbai
1.95,Hyderabad
3.75,Chennai
2.5,Pune
34.5,Mumbai
4.65,Delhi
32.0,Bangalore
62.81,Coimbatore
3.25,Chennai
3.1,Kolkata
3.91,Coimbatore
11.0,Chennai
3.5,Pune
16.5,Chennai
30.0,Hyderabad
28.0,Pune
28.0,Hyderabad
0.92,Jaipur
2.75,Pune
53.83,Coimbatore
4.95,Pune
33.5,Hyderabad
27.95,Bangalore
7.25,Hyderabad
25.71,Kochi
29.67,Coimbatore
19.0,Jaipur
13.05,Kochi
25.5,Mumbai
8.5,Pune
7.25,Chennai
0.8,Pune
6.9,Jaipur
70.99,Coimbatore
2.25,Kolkata
5.5,Kochi
4.35,Mumbai
2.25,Kolkata
24.5,Mumbai
5.45,Hyderabad
12.03,Coimbatore
8.5,Mumbai
28.5,Mumbai
1.2,Pune
5.75,Bangalore
3.2,Delhi
9.89,Coimbatore
6.58,Coimbatore
4.06,Kochi
13.37,Coimbatore
25.82,Coimbatore
3.74,Kochi
22.0,Bangalore
1.45,Ahmedabad
2.0,Kolkata
4.7,Kochi
3.75,Kolkata
7.7,Coimbatore
3.35,Coimbatore
2.6,Hyderabad
13.77,Coimbatore
7.1,Mumbai
2.65,Pune
2.5,Hyderabad
7.53,Kochi
7.98,Coimbatore
39.0,Bangalore
2.25,Chennai
3.85,Chennai
13.5,Hyderabad
3.5,Hyderabad
8.92,Delhi
20.37,Coimbatore
36.5,Bangalore
48.91,Coimbatore
7.2,Pune
5.99,Hyderabad
5.25,Pune
6.5,Delhi
4.4,Hyderabad
4.6,Kolkata
2.95,Ahmedabad
3.26,Kolkata
2.22,Bangalore
10.5,Hyderabad
8.26,Coimbatore
14.45,Delhi
2.5,Chennai
51.43,Kochi
23.0,Chennai
5.5,Kolkata
4.5,Delhi
6.8,Hyderabad
8.75,Mumbai
7.0,Mumbai
33.5,Delhi
2.25,Chennai
4.24,Hyderabad
28.42,Coimbatore
2.75,Kolkata
3.0,Jaipur
3.55,Pune
4.8,Kolkata
13.5,Kolkata
56.0,Pune
3.99,Hyderabad
15.5,Bangalore
2.32,Jaipur
18.58,Kochi
5.5,Jaipur
3.2,Chennai
4.0,Pune
1.6,Chennai
4.15,Kochi
4.25,Mumbai
2.6,Ahmedabad
3.43,Mumbai
2.55,Kochi
32.0,Delhi
6.25,Mumbai
3.6,Hyderabad
18.5,Pune
4.25,Mumbai
4.8,Mumbai
13.0,Bangalore
2.25,Pune
2.3,Hyderabad
13.56,Kochi
12.25,Delhi
3.76,Pune
8.58,Coimbatore
27.5,Hyderabad
4.95,Coimbatore
3.3,Ahmedabad
8.0,Chennai
2.79,Jaipur
45.64,Coimbatore
2.55,Pune
1.0,Ahmedabad
37.56,Coimbatore
9.29,Kochi
6.37,Kochi
2.98,Coimbatore
5.75,Kochi
13.0,Hyderabad
6.8,Mumbai
10.49,Coimbatore
5.6,Jaipur
2.85,Mumbai
8.36,Coimbatore
1.0,Jaipur
10.75,Kolkata
3.85,Hyderabad
3.0,Hyderabad
9.6,Coimbatore
13.25,Delhi
5.75,Mumbai
6.75,Delhi
4.85,Bangalore
38.99,Kochi
2.85,Mumbai
9.51,Mumbai
18.5,Ahmedabad
6.75,Delhi
29.4,Coimbatore
3.29,Kochi
9.5,Delhi
2.2,Pune
6.5,Pune
4.9,Ahmedabad
6.75,Pune
3.8,Chennai
29.5,Delhi
10.5,Hyderabad
6.2,Hyderabad
5.0,Jaipur
2.3,Chennai
17.0,Ahmedabad
25.5,Bangalore
5.65,Jaipur
5.6,Kochi
29.98,Kochi
7.39,Coimbatore
19.0,Jaipur
5.0,Pune
3.35,Kolkata
4.45,Chennai
8.31,Coimbatore
6.0,Jaipur
5.25,Chennai
1.4,Chennai
12.3,Hyderabad
1.5,Chennai
8.12,Coimbatore
6.12,Coimbatore
10.88,Coimbatore
3.5,Kolkata
6.15,Kochi
33.0,Chennai
13.5,Mumbai
17.11,Mumbai
29.77,Kochi
5.95,Kolkata
5.75,Bangalore
19.0,Bangalore
4.75,Ahmedabad
3.3,Hyderabad
16.5,Delhi
44.0,Mumbai
4.39,Hyderabad
6.2,Kochi
24.22,Kochi
5.45,Mumbai
44.0,Delhi
24.82,Coimbatore
11.69,Mumbai
20.0,Bangalore
1.45,Pune
48.5,Mumbai
9.45,Mumbai
12.5,Ahmedabad
6.9,Hyderabad
5.8,Jaipur
44.56,Coimbatore
8.5,Bangalore
10.7,Coimbatore
12.0,Pune
2.44,Coimbatore
1.95,Kolkata
4.35,Mumbai
17.5,Hyderabad
2.9,Hyderabad
2.9,Delhi
8.9,Pune
16.75,Mumbai
3.95,Coimbatore
2.1,Mumbai
4.29,Kochi
3.85,Hyderabad
9.0,Chennai
4.5,Pune
12.46,Kochi
4.65,Delhi
20.5,Hyderabad
2.9,Chennai
1.45,Chennai
0.65,Chennai
29.5,Mumbai
25.0,Hyderabad
3.5,Delhi
11.25,Jaipur
10.79,Kochi
5.9,Kolkata
5.12,Jaipur
5.7,Mumbai
35.84,Coimbatore
1.25,Hyderabad
2.65,Kolkata
9.19,Coimbatore
23.5,Bangalore
12.5,Delhi
1.5,Kolkata
0.8,Jaipur
0.75,Jaipur
8.1,Delhi
9.75,Jaipur
37.93,Coimbatore
1.96,Chennai
20.5,Jaipur
2.75,Bangalore
75.0,Mumbai
2.8,Chennai
9.25,Mumbai
3.0,Chennai
23.89,Coimbatore
12.75,Mumbai
4.15,Jaipur
4.65,Mumbai
8.9,Delhi
1.5,Jaipur
3.27,Pune
18.0,Pune
6.3,Pune
11.31,Coimbatore
6.16,Pune
6.0,Pune
5.43,Kochi
4.65,Hyderabad
7.5,Hyderabad
6.25,Jaipur
9.25,Bangalore
3.15,Mumbai
2.3,Hyderabad
5.25,Jaipur
7.4,Kochi
1.55,Pune
6.0,Pune
5.9,Chennai
4.7,Bangalore
6.5,Hyderabad
3.55,Hyderabad
7.1,Chennai
6.0,Hyderabad
7.99,Pune
4.1,Bangalore
3.95,Hyderabad
4.38,Kochi
2.75,Mumbai
55.54,Coimbatore
29.0,Hyderabad
6.6,Bangalore
6.99,Kolkata
18.75,Bangalore
1.28,Jaipur
1.2,Pune
4.31,Coimbatore
16.5,Chennai
5.64,Coimbatore
31.12,Coimbatore
25.46,Kochi
7.88,Kochi
36.0,Chennai
30.0,Pune
2.85,Pune
3.5,Delhi
7.5,Jaipur
19.0,Hyderabad
54.0,Hyderabad
4.7,Kochi
8.5,Hyderabad
17.0,Kolkata
3.51,Kochi
19.5,Bangalore
17.0,Pune
43.35,Coimbatore
2.65,Bangalore
3.52,Kochi
6.25,Kolkata
24.75,Ahmedabad
5.25,Mumbai
11.0,Jaipur
9.1,Kochi
3.25,Chennai
8.5,Pune
3.1,Pune
19.86,Kochi
4.9,Kolkata
5.7,Delhi
1.75,Chennai
2.9,Kolkata
7.83,Coimbatore
8.15,Kochi
2.0,Bangalore
6.25,Hyderabad
3.4,Bangalore
3.19,Coimbatore
7.75,Ahmedabad
3.2,Delhi
4.9,Delhi
3.8,Kochi
4.0,Chennai
23.5,Hyderabad
1.15,Chennai
2.2,Hyderabad
26.5,Mumbai
10.65,Bangalore
35.68,Coimbatore
31.94,Kochi
4.2,Chennai
9.9,Ahmedabad
15.46,Kochi
8.46,Kochi
3.25,Kolkata
2.6,Hyderabad
5.2,Coimbatore
1.8,Pune
1.6,Chennai
2.5,Kolkata
2.5,Jaipur
6.7,Coimbatore
1.2,Hyderabad
35.55,Coimbatore
7.75,Jaipur
1.94,Chennai
2.2,Hyderabad
3.8,Ahmedabad
15.65,Chennai
39.47,Coimbatore
1.5,Kolkata
8.85,Ahmedabad
17.9,Bangalore
5.08,Coimbatore
6.25,Bangalore
22.75,Bangalore
1.46,Kolkata
2.05,Pune
4.08,Coimbatore
4.55,Hyderabad
14.0,Mumbai
10.9,Ahmedabad
2.45,Bangalore
15.8,Delhi
8.25,Mumbai
8.5,Delhi
15.54,Coimbatore
2.35,Hyderabad
4.32,Coimbatore
3.9,Jaipur
5.2,Hyderabad
5.85,Mumbai
6.25,Bangalore
17.63,Coimbatore
9.75,Mumbai
55.0,Bangalore
4.1,Hyderabad
11.99,Hyderabad
13.54,Kochi
56.0,Mumbai
6.5,Chennai
4.75,Pune
5.6,Hyderabad
29.2,Coimbatore
6.35,Kolkata
4.95,Mumbai
8.5,Hyderabad
4.5,Kolkata
5.5,Chennai
6.56,Kochi
2.3,Pune
3.5,Pune
4.55,Kochi
7.75,Bangalore
5.25,Mumbai
23.29,Coimbatore
23.99,Mumbai
1.79,Pune
13.9,Mumbai
18.95,Kolkata
2.49,Kolkata
3.15,Jaipur
6.45,Mumbai
4.25,Ahmedabad
2.75,Hyderabad
7.14,Kochi
2.44,Mumbai
3.5,Jaipur
7.3,Chennai
2.75,Kolkata
8.2,Bangalore
6.51,Mumbai
4.25,Pune
6.21,Coimbatore
4.58,Kochi
7.5,Chennai
2.1,Delhi
4.09,Coimbatore
10.75,Mumbai
41.5,Mumbai
4.4,Hyderabad
6.25,Jaipur
10.5,Pune
7.25,Mumbai
3.2,Hyderabad
3.95,Mumbai
12.07,Coimbatore
18.6,Pune
5.7,Delhi
1.75,Kolkata
10.99,Delhi
14.5,Kolkata
3.11,Jaipur
13.96,Coimbatore
7.11,Coimbatore
6.9,Chennai
7.77,Coimbatore
5.5,Kolkata
5.35,Hyderabad
4.5,Chennai
4.75,Jaipur
32.8,Coimbatore
0.7,Mumbai
50.29,Coimbatore
10.99,Mumbai
5.57,Coimbatore
5.9,Jaipur
9.43,Coimbatore
2.9,Bangalore
3.68,Delhi
21.67,Coimbatore
12.5,Ahmedabad
19.92,Kochi
6.75,Jaipur
6.96,Kochi
3.25,Jaipur
8.65,Hyderabad
5.0,Pune
5.5,Delhi
2.6,Jaipur
3.41,Kochi
2.7,Kolkata
5.5,Chennai
35.0,Kolkata
9.75,Mumbai
4.25,Mumbai
3.2,Ahmedabad
6.85,Bangalore
4.5,Delhi
3.55,Delhi
1.9,Hyderabad
3.6,Hyderabad
21.8,Kochi
13.5,Mumbai
2.66,Bangalore
3.75,Delhi
32.0,Pune
8.07,Coimbatore
5.64,Kochi
23.99,Hyderabad
7.5,Coimbatore
27.0,Jaipur
2.85,Mumbai
6.35,Pune
3.3,Hyderabad
5.0,Bangalore
6.46,Coimbatore
3.75,Jaipur
1.52,Kochi
3.61,Coimbatore
43.74,Coimbatore
20.0,Chennai
3.0,Pune
3.65,Hyderabad
5.25,Mumbai
58.0,Hyderabad
8.65,Mumbai
2.5,Delhi
7.75,Chennai
4.15,Bangalore
10.85,Delhi
5.53,Delhi
11.5,Pune
40.0,Hyderabad
9.25,Kolkata
2.29,Pune
7.0,Chennai
1.65,Bangalore
8.25,Ahmedabad
9.14,Kochi
6.5,Hyderabad
2.95,Kolkata
5.75,Jaipur
2.85,Hyderabad
2.1,Kolkata
13.55,Coimbatore
20.5,Kolkata
20.0,Mumbai
59.72,Kochi
6.5,Kolkata
7.5,Ahmedabad
2.15,Jaipur
8.44,Coimbatore
12.49,Bangalore
5.48,Pune
4.2,Hyderabad
7.2,Hyderabad
4.8,Jaipur
5.83,Kochi
18.39,Coimbatore
5.85,Pune
6.21,Mumbai
3.65,Delhi
3.7,Delhi
30.0,Pune
4.85,Kochi
6.93,Coimbatore
2.6,Kolkata
1.89,Kolkata
39.5,Mumbai
10.0,Mumbai
9.95,Kolkata
9.45,Mumbai
28.25,Coimbatore
1.8,Jaipur
1.4,Kolkata
7.25,Ahmedabad
3.6,Hyderabad
1.2,Jaipur
4.94,Coimbatore
1.25,Delhi
4.8,Chennai
31.15,Kochi
3.3,Pune
2.4,Bangalore
2.0,Kolkata
3.1,Pune
5.09,Kochi
1.05,Pune
7.0,Bangalore
2.5,Ahmedabad
17.5,Mumbai
2.1,Chennai
17.75,Bangalore
1.45,Mumbai
2.45,Bangalore
13.8,Pune
5.85,Kolkata
8.9,Delhi
5.15,Mumbai
16.56,Kochi
1.65,Chennai
16.0,Pune
1.45,Pune
8.08,Coimbatore
4.5,Pune
4.3,Chennai
2.6,Hyderabad
4.45,Hyderabad
5.37,Coimbatore
1.75,Chennai
16.5,Kolkata
19.0,Delhi
2.8,Jaipur
6.2,Hyderabad
3.8,Kochi
6.1,Hyderabad
11.65,Coimbatore
4.15,Mumbai
16.5,Chennai
4.3,Bangalore
2.25,Kolkata
6.75,Ahmedabad
9.4,Chennai
5.39,Coimbatore
8.51,Kochi
1.85,Pune
2.5,Kolkata
4.75,Chennai
3.5,Pune
5.5,Bangalore
6.33,Coimbatore
2.47,Kochi
3.3,Kochi
3.5,Delhi
38.75,Delhi
7.99,Pune
13.28,Kochi
9.5,Pune
14.01,Kochi
6.99,Coimbatore
11.0,Hyderabad
11.0,Hyderabad
2.3,Pune
26.5,Delhi
67.0,Bangalore
17.75,Mumbai
4.8,Delhi
4.57,Coimbatore
3.5,Chennai
7.61,Kochi
25.0,Hyderabad
5.88,Coimbatore
13.5,Hyderabad
4.6,Kolkata
4.9,Kolkata
5.25,Hyderabad
12.41,Coimbatore
3.8,Kolkata
8.95,Mumbai
7.2,Hyderabad
4.5,Hyderabad
4.15,Delhi
7.94,Coimbatore
7.25,Pune
3.7,Delhi
2.45,Hyderabad
1.5,Chennai
12.0,Delhi
2.2,Delhi
3.6,Hyderabad
1.92,Kolkata
20.5,Bangalore
4.25,Jaipur
3.2,Kolkata
2.6,Pune
3.85,Kolkata
3.48,Kochi
4.55,Hyderabad
7.0,Pune
5.75,Ahmedabad
8.73,Kochi
1.7,Hyderabad
29.5,Hyderabad
10.49,Kochi
64.0,Kolkata
7.55,Pune
3.95,Mumbai
3.25,Bangalore
2.75,Mumbai
7.35,Kolkata
4.7,Ahmedabad
8.77,Kochi
3.42,Kochi
2.5,Kolkata
20.0,Kolkata
5.25,Mumbai
14.5,Delhi
3.45,Mumbai
3.3,Pune
51.0,Bangalore
6.5,Kolkata
3.65,Hyderabad
7.25,Chennai
6.01,Kochi
2.8,Kolkata
4.0,Chennai
5.95,Delhi
9.2,Chennai
5.35,Pune
12.0,Delhi
38.94,Coimbatore
2.69,Coimbatore
27.5,Bangalore
2.75,Kolkata
2.8,Mumbai
6.45,Mumbai
5.88,Coimbatore
4.65,Pune
2.5,Jaipur
51.35,Kochi
6.85,Hyderabad
5.25,Chennai
9.23,Coimbatore
22.0,Ahmedabad
5.19,Hyderabad
4.35,Pune
24.5,Hyderabad
5.75,Pune
9.19,Kochi
10.75,Pune
2.99,Bangalore
3.89,Kolkata
11.73,Coimbatore
3.11,Coimbatore
14.45,Jaipur
8.7,Ahmedabad
5.04,Kochi
8.5,Jaipur
15.65,Delhi
5.65,Mumbai
16.5,Bangalore
2.0,Ahmedabad
3.9,Pune
14.5,Jaipur
44.0,Bangalore
5.0,Delhi
19.75,Hyderabad
11.44,Coimbatore
1.75,Chennai
5.6,Bangalore
30.42,Kochi
9.57,Coimbatore
3.5,Mumbai
10.46,Coimbatore
4.85,Pune
5.68,Kochi
13.25,Mumbai
16.0,Bangalore
3.0,Chennai
0.99,Kolkata
5.0,Mumbai
4.75,Delhi
5.35,Bangalore
5.98,Hyderabad
3.5,Chennai
4.77,Kochi
5.45,Delhi
6.85,Ahmedabad
7.3,Jaipur
1.25,Pune
8.25,Chennai
2.71,Ahmedabad
3.6,Kolkata
3.0,Ahmedabad
4.65,Hyderabad
9.5,Mumbai
2.95,Mumbai
3.0,Mumbai
5.95,Hyderabad
4.0,Delhi
2.5,Delhi
11.37,Kolkata
2.25,Pune
3.1,Jaipur
17.18,Kochi
6.5,Jaipur
5.7,Ahmedabad
8.0,Ahmedabad
2.6,Chennai
2.45,Hyderabad
11.57,Kochi
2.3,Kolkata
5.9,Jaipur
7.2,Mumbai
5.9,Ahmedabad
6.0,Chennai
1.95,Kolkata
6.55,Coimbatore
25.0,Hyderabad
2.65,Kolkata
